Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2010-04-22 00:00:00,J1,1,False,False,False,False,False,True,10,1,5.5
2010-04-22 12:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-04-23 00:00:00,J1,1,False,True,False,True,False,False,10,5,7.5
2010-04-23 12:00:00,J1,0,False,True,False,False,False,False,4,0,2
2010-04-25 00:00:00,J1,1,False,True,False,True,False,False,10,2,6
2010-04-25 12:00:00,J1,1,False,True,False,True,False,True,10,0,5
2010-04-26 00:00:00,J1,1,False,False,False,False,False,False,8,4,6
2010-04-27 00:00:00,J1,0,False,False,False,True,False,False,3,4,3.5
2010-04-28 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-04-28 12:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2010-04-30 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-05-02 00:00:00,J1,0,False,False,False,True,False,False,1,3,2
2010-05-04 00:00:00,J1,3,False,True,False,False,False,False,10,10,10
2010-05-06 00:00:00,J1,1,False,False,False,False,False,False,8,7,7.5
2010-05-06 12:00:00,J1,0,False,False,False,False,False,False,0,0,0
2010-05-07 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-05-08 00:00:00,J1,1,False,False,False,True,False,False,10,6,8
2010-05-09 00:00:00,J1,0,False,False,False,False,False,False,0,0,0
2010-05-09 08:00:00,J1,1,False,False,False,False,False,False,7,4,5.5
2010-05-09 16:00:00,J1,2,False,True,False,True,False,False,10,8,9
2010-05-10 00:00:00,J1,1,False,False,False,False,False,False,6,4,5
2010-05-13 00:00:00,J1,2,False,False,False,False,False,False,10,10,10
2010-05-14 00:00:00,J1,2,False,True,False,True,False,False,10,8,9
2010-05-15 00:00:00,J1,0,False,True,False,True,False,False,5,0,2.5
2010-05-15 12:00:00,J1,4,False,True,False,True,False,False,10,10,10
2010-05-16 00:00:00,J1,0,False,False,False,True,False,False,4,2,3
2010-05-16 12:00:00,J1,0,False,True,False,True,False,False,5,0,2.5
